Typical Measured Spectrum of Semrock Di02-R594 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
570.0	0.00424
570.2	0.00495
570.4	0.00594
570.6	0.00744
570.8	0.00966
571.0	0.01279
571.2	0.0166
571.4	0.0207
571.6	0.02399
571.8	0.02602
572.0	0.02667
572.2	0.02589
572.4	0.02387
572.6	0.02091
572.8	0.01731
573.0	0.01372
573.2	0.01057
573.4	0.00823
573.6	0.00659
573.8	0.00544
574.0	0.00464
574.2	0.00415
574.4	0.00373
574.6	0.00346
574.8	0.00322
575.0	0.00313
575.2	0.00306
575.4	0.00299
575.6	0.00294
575.8	0.00297
576.0	0.00303
576.2	0.00306
576.4	0.00322
576.6	0.00339
576.8	0.0036
577.0	0.00381
577.2	0.004
577.4	0.00423
577.6	0.00439
577.8	0.00463
578.0	0.00473
578.2	0.00496
578.4	0.005
578.6	0.00508
578.8	0.00511
579.0	0.00511
579.2	0.00501
579.4	0.00497
579.6	0.00485
579.8	0.00458
580.0	0.00451
580.2	0.00427
580.4	0.00402
580.6	0.00379
580.8	0.00358
581.0	0.00334
581.2	0.00303
581.4	0.00282
581.6	0.00261
581.8	0.00251
582.0	0.00234
582.2	0.0022
582.4	0.00212
582.6	0.00198
582.8	0.00189
583.0	0.00184
583.2	0.0018
583.4	0.00179
583.6	0.00173
583.8	0.0017
584.0	0.00166
584.2	0.00165
584.4	0.00169
584.6	0.00163
584.8	0.00156
585.0	0.00164
585.2	0.00163
585.4	0.00166
585.6	0.00166
585.8	0.0017
586.0	0.00169
586.2	0.00174
586.4	0.00176
586.6	0.00176
586.8	0.00181
587.0	0.00183
587.2	0.00189
587.4	0.00189
587.6	0.00199
587.8	0.00204
588.0	0.0021
588.2	0.00221
588.4	0.00224
588.6	0.00236
588.8	0.00248
589.0	0.00255
589.2	0.00266
589.4	0.00285
589.6	0.00294
589.8	0.00312
590.0	0.00329
590.2	0.00351
590.4	0.00369
590.6	0.00393
590.8	0.00418
591.0	0.00443
591.2	0.00475
591.4	0.00506
591.6	0.00539
591.8	0.00575
592.0	0.00624
592.2	0.0067
592.4	0.00723
592.6	0.00774
